Year,RM,Winter Wheat,Canola,Spring Wheat,Mustard,Durum,Sunflowers,Oats,Lentils,Peas,Barley,Fall Rye,Canary Seed,Spring Rye,Tame Hay,Flax,Chickpeas
1982,316,NA,18,32,NA,30,NA,56,NA,NA,43,33,NA,NA,NA,20,NA
1983,316,NA,25.5,35.6,NA,33.2,NA,52.5,NA,NA,45.8,31.5,NA,NA,NA,17.2,NA
1984,316,NA,16.8,19.4,NA,19.2,NA,25.9,NA,NA,25.4,20.9,NA,NA,0.78,11.2,NA
1985,316,NA,19.6,24.9,NA,26,NA,41,NA,NA,37.4,18.8,NA,NA,1.3,17.2,NA
1986,316,NA,26.5,35.6,NA,33.4,NA,58.5,NA,NA,47.7,27.9,NA,NA,1.21,15.5,NA
1987,316,NA,30.6,28.2,NA,30,NA,49,NA,NA,45,23.8,NA,NA,0.63,15,NA
1988,316,NA,3.7,3.2,NA,2.4,NA,14,NA,NA,12.4,10,NA,NA,0.08,1.5,NA
1989,316,NA,8.8,17.3,NA,17.5,NA,24.6,NA,NA,22.1,18.6,NA,NA,0.75,8,NA
1990,316,NA,10.2,25.6,NA,29.6,NA,44.4,NA,NA,31,26.2,NA,NA,1.25,15,NA
1991,316,NA,21.6,30.2,NA,31.1,NA,40,NA,NA,38.2,30,NA,NA,2.5,27,NA
1992,316,NA,22,28.4,1150,28,NA,40,1300,45,43.6,20,NA,NA,0.8,19,NA
1993,316,NA,25,34.5,1062,30,NA,75,958,50,48.9,28,800,35,2,15,NA
1994,316,NA,30,35,2000,35,NA,70,1413,41.7,50.5,30,1800,20,3,35,NA
1995,316,NA,18,27.5,1000,25,NA,47.5,718,18.9,35,30,1100,NA,1.2,20,NA
1996,316,NA,20,32.5,1061,30,1290,61.9,1319,31.9,50.9,NA,1250,25,1.5,25,NA
1997,316,NA,8.6,28.3,1000,26.7,NA,NA,988.5,26.3,46.6,NA,NA,NA,1.4,18.8,NA
1998,316,15,10.5,15.6,560.5,18.8,NA,12.5,975.1,21.1,18.4,6.6,765,NA,NA,6.5,NA
1999,316,NA,32.4,38.9,1228,32.8,NA,61.5,1080.1,43,44.2,35,1400,NA,NA,25,NA
2000,316,NA,32.5,34.3,1140.7,39.3,NA,42.8,1201.4,35.2,52.9,NA,886,NA,NA,NA,NA
2001,316,NA,24.2,20.4,450,21,NA,NA,532,14.4,22.6,NA,NA,NA,NA,10.8,NA
2002,316,NA,12.6,10.6,200,10.4,NA,12.5,284,4.9,17.3,NA,NA,NA,NA,NA,NA
2003,316,NA,12.6,20.2,514,24,NA,23.6,981,18.2,22.5,18.5,NA,NA,NA,NA,NA
2004,316,NA,22.8,30.2,825,27.2,NA,62,1023,33.6,47.7,NA,NA,NA,NA,NA,NA
2005,316,NA,41.1,40.6,NA,50.7,NA,64.1,1682,49.9,45.7,NA,NA,NA,NA,NA,NA
2006,316,NA,31.7,31.7,NA,31.1,NA,NA,1232,43,51.5,NA,NA,NA,NA,27.3,NA
2007,316,NA,31.1,33.5,NA,44.4,NA,81.7,1444,44.3,36.5,NA,NA,NA,NA,NA,NA
2008,316,NA,32.1,34.7,NA,35.4,NA,NA,1253,28.5,55.5,NA,NA,NA,NA,NA,NA
2009,316,NA,37.4,39.2,NA,36.8,NA,NA,1488,32.5,61.7,NA,NA,NA,NA,NA,NA
2010,316,NA,34.6,37.9,777,32.5,NA,43.9,908,32.1,47.9,36.4,548,NA,NA,24.5,NA
2011,316,NA,34.7,40.4,NA,49.6,NA,60,1686,46.5,63.5,NA,NA,NA,NA,28,NA
2012,316,NA,24.6,37.7,NA,50,NA,NA,1118,31.4,35.7,NA,NA,NA,NA,NA,NA
2013,316,NA,48.1,58,NA,50,NA,77.2,2097,43.5,59,NA,NA,NA,NA,39.4,NA
2014,316,NA,40.45,46.89,643.74,47.52,0,48.32,1330.41,25,46.02,NA,NA,0,0,28.66,NA
2015,316,NA,39.73,39.02,NA,37.76,NA,40.91,1682.59,33.9,45.68,NA,749.56,NA,NA,26.45,NA
2016,316,NA,44.7,56.3,NA,52.1,NA,80,1489,47.9,78.3,48,NA,NA,NA,27.7,NA
2017,316,NA,37.08,53.96,NA,59.48,NA,NA,1872.06,38.2,67.13,NA,NA,NA,NA,NA,NA
2018,316,NA,34.5,48.9,NA,28,NA,30,1618,34.1,38,NA,NA,NA,NA,NA,NA
2019,316,NA,42.1,49.8,NA,48.4,NA,NA,1343,38.8,64.1,NA,NA,NA,NA,NA,NA
2020,316,NA,38,50.6,NA,51.4,NA,NA,1744,37.4,70.5,NA,NA,NA,NA,17.2,NA
2021,316,NA,12.5,19.1,NA,10,NA,NA,659,15.7,19.4,NA,NA,NA,NA,7.8,NA
2022,316,NA,12,20.2,NA,19.1,NA,NA,676.8,16.6,20.3,NA,NA,NA,NA,8.6,NA
2023,316,36,25.5,33.4,NA,29,NA,50.6,1267.4,30.6,56.9,NA,NA,NA,NA,16,NA
2024,316,NA,33.8,48.6,1415,55.2,NA,NA,1183,34.4,79.3,NA,NA,NA,NA,NA,NA
2025,316,NA,54.2,67.5,NA,65.5,NA,NA,2329,64.4,100.6,NA,1621,NA,NA,NA,2953
1938,317,NA,NA,10,NA,NA,NA,35,NA,NA,20,NA,NA,NA,NA,3,NA
1939,317,NA,NA,26,NA,NA,NA,53,NA,NA,39,NA,NA,NA,NA,10,NA
1940,317,NA,NA,21,NA,NA,NA,37,NA,NA,29,NA,NA,NA,NA,8,NA
1941,317,NA,NA,7,NA,NA,NA,14,NA,NA,10,NA,NA,NA,NA,6,NA
1942,317,NA,NA,26,NA,NA,NA,53,NA,NA,42,10,NA,NA,NA,10,NA
1943,317,NA,NA,11,NA,NA,NA,18,NA,NA,14,NA,NA,NA,NA,6,NA
1944,317,NA,NA,15,NA,NA,NA,25,NA,NA,21,8,NA,NA,NA,5,NA
1945,317,NA,NA,6,NA,NA,NA,6,NA,NA,5,4,NA,NA,NA,3,NA
1946,317,NA,NA,11,NA,NA,NA,23,NA,NA,19,12,NA,NA,NA,5,NA
1947,317,NA,NA,4,NA,NA,NA,5,NA,NA,5,5,NA,NA,NA,3,NA
1948,317,NA,NA,9,NA,NA,NA,11,NA,NA,11,5,NA,NA,NA,6,NA
1949,317,NA,NA,7,NA,NA,NA,12,NA,NA,10,7,NA,NA,NA,5,NA
1950,317,NA,NA,12,NA,NA,NA,27,NA,NA,19,6,NA,NA,NA,3,NA
1951,317,NA,NA,20,NA,NA,NA,37,NA,NA,25,11,NA,NA,NA,10,NA
1952,317,NA,NA,27,NA,NA,NA,46,NA,NA,34,16,NA,NA,NA,11,NA
1953,317,NA,NA,20,NA,NA,NA,30,NA,NA,24,11,NA,NA,NA,10,NA
1954,317,NA,NA,11,NA,NA,NA,41,NA,NA,32,14,NA,NA,NA,13,NA
1955,317,NA,NA,28,NA,NA,NA,48,NA,NA,38,17,NA,NA,NA,15,NA
1956,317,NA,NA,23,NA,NA,NA,49,NA,NA,38,14,NA,NA,NA,13,NA
1957,317,NA,NA,14,NA,NA,NA,24,NA,NA,23,10,NA,NA,NA,7,NA
1958,317,NA,NA,14,NA,NA,NA,24,NA,NA,24,7,NA,NA,NA,10,NA
1959,317,NA,NA,15,NA,NA,NA,20,NA,NA,17,NA,NA,NA,NA,7,NA
1960,317,NA,NA,22,NA,NA,NA,35,NA,NA,27,15,NA,NA,NA,9,NA
1961,317,NA,NA,8,NA,NA,NA,8,NA,NA,10,5,NA,NA,NA,5,NA
1962,317,NA,NA,15,NA,NA,NA,33,NA,NA,27,12,NA,NA,NA,9,NA
1963,317,NA,NA,29,NA,NA,NA,46,NA,NA,42,18,NA,NA,NA,16,NA
1964,317,NA,NA,16,NA,NA,NA,29,NA,NA,19,10,NA,NA,NA,6,NA
1965,317,NA,NA,20,NA,NA,NA,38,NA,NA,32,21,NA,NA,NA,10,NA
1966,317,NA,NA,32,NA,NA,NA,56,NA,NA,37,30,NA,NA,NA,17,NA
1967,317,NA,NA,18,NA,NA,NA,27,NA,NA,24,22,NA,NA,NA,9,NA
1968,317,NA,NA,25,NA,NA,NA,45,NA,NA,35,20,NA,NA,NA,16,NA
1969,317,NA,20,25,NA,NA,NA,50,NA,NA,35,12,NA,NA,NA,11,NA
1970,317,NA,18,27,NA,27,NA,69,NA,NA,45,25,NA,NA,NA,22,NA
1971,317,NA,22,30,NA,27,NA,62,NA,NA,48,22,NA,NA,NA,18,NA
1972,317,NA,16,24,NA,22,NA,54,NA,NA,40,15,NA,NA,NA,12,NA
1973,317,NA,17,21,NA,18,NA,43,NA,NA,34,15,NA,NA,NA,14,NA
1974,317,NA,18,27,NA,31,NA,45,NA,NA,40,18,NA,NA,NA,11,NA
1975,317,NA,NA,27,NA,27,NA,50,NA,NA,42,NA,NA,NA,NA,NA,NA
1976,317,NA,20,33,NA,33,NA,58,NA,NA,46,28,NA,NA,NA,14,NA
1977,317,NA,26,28,NA,27,NA,52,NA,NA,40,23,NA,NA,NA,20,NA
1978,317,NA,16,26,NA,26,NA,51,NA,NA,41,22,NA,NA,NA,12,NA
1979,317,NA,13,22,NA,22,NA,31,NA,NA,28,21,NA,NA,NA,13,NA
1980,317,NA,11,15,NA,13,NA,15,NA,NA,20,9,NA,NA,NA,9,NA
1981,317,NA,20,19,NA,20,NA,34,NA,NA,35,22,NA,NA,NA,13,NA
1982,317,NA,NA,36,NA,36,NA,59,NA,NA,47,27,NA,NA,NA,23,NA
1983,317,NA,26,34.8,NA,34.9,NA,54.9,NA,NA,49.5,24.8,NA,NA,NA,19.5,NA
1984,317,NA,11.4,16.5,NA,16.2,NA,24.1,NA,NA,23.4,19.4,NA,NA,0.73,8.2,NA
1985,317,NA,11.4,21.3,NA,19.6,NA,25.9,NA,NA,28.6,15.5,NA,NA,0.75,12,NA
1986,317,NA,25.7,38.3,NA,36.4,NA,70,NA,NA,58.2,27.7,NA,NA,1.2,18.5,NA
1987,317,NA,27.1,30.6,NA,27.7,NA,55,NA,NA,41.8,20.8,NA,NA,0.8,18.8,NA
1988,317,NA,11,7,NA,7.8,NA,18.8,NA,NA,13.8,4,NA,NA,0.15,10,NA
1989,317,NA,10.1,18.8,NA,17.9,NA,26.4,NA,NA,26.9,14.4,NA,NA,0.75,9.3,NA
1990,317,NA,20,33,NA,30.3,NA,46.4,NA,NA,44,32.7,NA,NA,1.5,14.6,NA
1991,317,NA,20.1,33.2,NA,34.7,NA,40,NA,NA,43.5,25,NA,NA,2.43,16,NA
1992,317,NA,18,26.1,1000,26.7,NA,35,1205,NA,47.8,21,1750,NA,0.25,12.5,NA
1993,317,NA,28.3,32.6,1058,35.6,600,60.9,833,34.1,48.3,33,700,45,1,25,NA
1994,317,NA,27.3,29.1,1148,29.5,465,50.5,1283,31.1,42.3,45,924,NA,1.5,20.5,NA
1995,317,NA,15.2,27.3,800,22.6,600,43,1008,20.7,31.4,26,800,NA,0.77,19,NA
1996,317,NA,22.9,33.5,1278,37.1,NA,58.9,1548,32.6,53.7,15,1144,0,1.4,19,NA
1997,317,NA,18.5,24.3,788.8,29.3,NA,36.8,912.4,29.9,36.9,15,704.3,NA,1,10,NA
1998,317,NA,12.3,16.8,593.5,15.2,NA,32.4,833.7,20.1,28.7,15,625,NA,NA,13.5,NA
1999,317,NA,29.2,36.9,1276.6,36.9,NA,60.3,1291.2,40.9,56.5,36.6,1096.5,NA,NA,23.6,NA
2000,317,NA,28,32,1111.8,30,NA,55.9,1372.6,29.9,47.9,27.7,872.8,NA,NA,19.3,NA
2001,317,NA,14.6,17.7,607,12.7,NA,32.9,578,11,20.9,NA,627,NA,NA,13.6,NA
2002,317,NA,12,14,600,6.7,NA,19.6,352,8.4,16.4,NA,600,NA,NA,9.5,NA
2003,317,NA,11.9,19.3,580,20.2,NA,28.7,760,15.9,27.5,14,575,NA,NA,10.6,NA
2004,317,NA,25.4,26.5,897,23.1,NA,39.6,1032,28.9,38.8,33.7,775,NA,NA,14.4,NA
2005,317,NA,36.9,32.8,1083,36.5,NA,65.6,1477,37.7,56.8,42.5,783,NA,NA,27.8,NA
2006,317,NA,26.9,24.2,1200,25.9,NA,42.6,1098,26.8,34,34.7,975,NA,NA,14.6,1100
2007,317,25,26.2,25.9,991,31.1,NA,77.6,1239,29.1,35.3,32.5,872,NA,NA,20,950
2008,317,NA,27.7,26.8,968,26.4,NA,45,1423,24.1,48.2,30,1000,NA,NA,20,NA
2009,317,NA,36.1,30.9,1250,34.7,NA,75,1551,34.4,56.5,25,NA,NA,NA,18,NA
2010,317,NA,31.5,32.4,952,34,NA,56.2,775,24.2,50.3,32.8,1000,NA,NA,26.3,1000
2011,317,NA,36.9,35.9,955,43.8,NA,67,1222,44,51.9,25,NA,NA,NA,27.4,NA
2012,317,35,24.7,28.9,1000,37.4,NA,55,984,23.7,40,30,NA,NA,NA,21,NA
2013,317,50.7,44.3,43.4,1790,44.8,NA,85.4,1857,43,62.7,30,NA,NA,NA,35.7,NA
2014,317,NA,32.12,33.46,1000,39.8,0,80.01,875.83,27.8,61.8,25,NA,0,0,30.31,NA
2015,317,NA,34.62,35.81,1166.73,33.49,NA,56.6,1789.01,29.9,58.9,27.5,455.67,NA,NA,27.65,NA
2016,317,NA,37.8,40,558,36.5,NA,72.1,1166,48.1,64.7,35,NA,NA,NA,25.7,NA
2017,317,NA,37.27,45.12,1250,41.14,NA,60,1759.28,38.7,59.03,25,NA,NA,NA,28.35,NA
2018,317,NA,42.7,45.1,NA,39,NA,60,1542,37.2,52.5,25,NA,NA,NA,25,NA
2019,317,NA,41.1,45.1,NA,41.7,NA,70,1490,38,67.4,25,NA,NA,NA,29.8,NA
2020,317,NA,33.9,44.3,NA,49.3,NA,70,1455,39,64.3,30,1350,NA,NA,34.2,NA
2021,317,NA,14.5,18.9,NA,14.5,NA,30,472,14,13.7,12,341,NA,NA,7.3,NA
2022,317,NA,21.4,30,NA,25.5,NA,28.3,883.6,20.1,33.9,NA,NA,NA,NA,12.2,NA
2023,317,NA,26.4,38.8,NA,29.1,NA,NA,1180.4,22.1,53.1,NA,NA,NA,NA,13.6,NA
2024,317,NA,36.7,51.8,NA,53,NA,NA,889,27.2,74.2,NA,NA,NA,NA,27.3,1962
2025,317,NA,54.3,67.1,NA,72.1,NA,NA,2203,58.4,99.4,NA,NA,NA,NA,36.5,NA
1938,318,NA,NA,12,NA,NA,NA,35,NA,NA,18,NA,NA,NA,NA,7,NA
1939,318,NA,NA,22,NA,NA,NA,43,NA,NA,28,NA,NA,NA,NA,10,NA
1940,318,NA,NA,22,NA,NA,NA,47,NA,NA,33,NA,NA,NA,NA,11,NA
1941,318,NA,NA,9,NA,NA,NA,21,NA,NA,14,NA,NA,NA,NA,7,NA
1942,318,NA,NA,28,NA,NA,NA,49,NA,NA,38,19,NA,NA,NA,9,NA
1943,318,NA,NA,10,NA,NA,NA,22,NA,NA,16,5,NA,NA,NA,6,NA
1944,318,NA,NA,13,NA,NA,NA,22,NA,NA,17,12,NA,NA,NA,6,NA
1945,318,NA,NA,8,NA,NA,NA,9,NA,NA,11,9,NA,NA,NA,3,NA
1946,318,NA,NA,13,NA,NA,NA,20,NA,NA,18,10,NA,NA,NA,4,NA
1947,318,NA,NA,6,NA,NA,NA,5,NA,NA,6,6,NA,NA,NA,3,NA
1948,318,NA,NA,5,NA,NA,NA,11,NA,NA,5,6,NA,NA,NA,4,NA
1949,318,NA,NA,9,NA,NA,NA,19,NA,NA,18,5,NA,NA,NA,7,NA
1950,318,NA,NA,14,NA,NA,NA,24,NA,NA,20,10,NA,NA,NA,4,NA
1951,318,NA,NA,22,NA,NA,NA,45,NA,NA,35,10,NA,NA,NA,12,NA
1952,318,NA,NA,29,NA,NA,NA,47,NA,NA,39,13,NA,NA,NA,13,NA
1953,318,NA,NA,27,NA,NA,NA,41,NA,NA,31,20,NA,NA,NA,12,NA
1954,318,NA,NA,14,NA,NA,NA,44,NA,NA,27,11,NA,NA,NA,10,NA
1955,318,NA,NA,28,NA,NA,NA,48,NA,NA,40,16,NA,NA,NA,15,NA
1956,318,NA,NA,27,NA,NA,NA,47,NA,NA,36,14,NA,NA,NA,12,NA
1957,318,NA,NA,13,NA,NA,NA,13,NA,NA,16,15,NA,NA,NA,6,NA
1958,318,NA,NA,15,NA,NA,NA,28,NA,NA,22,5,NA,NA,NA,10,NA
1959,318,NA,NA,16,NA,NA,NA,33,NA,NA,23,10,NA,NA,NA,5,NA
1960,318,NA,NA,17,NA,NA,NA,36,NA,NA,23,20,NA,NA,NA,7,NA
1961,318,NA,NA,11,NA,NA,NA,23,NA,NA,17,11,NA,NA,NA,7,NA
1962,318,NA,NA,19,NA,NA,NA,48,NA,NA,35,NA,NA,NA,NA,12,NA
1963,318,NA,NA,27,NA,NA,NA,37,NA,NA,30,20,NA,NA,NA,17,NA
1964,318,NA,NA,18,NA,NA,NA,29,NA,NA,24,10,NA,NA,NA,8,NA
1965,318,NA,NA,23,NA,NA,NA,42,NA,NA,34,20,NA,NA,NA,13,NA
1966,318,NA,NA,35,NA,NA,NA,68,NA,NA,56,NA,NA,NA,NA,15,NA
1967,318,NA,NA,19,NA,NA,NA,32,NA,NA,24,15,NA,NA,NA,8,NA
1968,318,NA,NA,20,NA,NA,NA,40,NA,NA,29,20,NA,NA,NA,9,NA
1969,318,NA,18,25,NA,NA,NA,46,NA,NA,35,12,NA,NA,NA,14,NA
1970,318,NA,22,32,NA,34,NA,65,NA,NA,47,27,NA,NA,NA,20,NA
1971,318,NA,20,30,NA,28,NA,63,NA,NA,50,22,NA,NA,NA,17,NA
1972,318,NA,14,25,NA,25,NA,55,NA,NA,42,NA,NA,NA,NA,16,NA
1973,318,NA,12,28,NA,25,NA,55,NA,NA,40,17,NA,NA,NA,13,NA
1974,318,NA,15,27,NA,28,NA,58,NA,NA,37,15,NA,NA,NA,8,NA
1975,318,NA,20,28,NA,27,NA,50,NA,NA,43,25,NA,NA,NA,10,NA
1976,318,NA,NA,33,NA,35,NA,54,NA,NA,48,20,NA,NA,NA,14,NA
1977,318,NA,20,28,NA,27,NA,44,NA,NA,42,18,NA,NA,NA,14,NA
1978,318,NA,22,26,NA,26,NA,48,NA,NA,40,26,NA,NA,NA,16,NA
1979,318,NA,20,27,NA,25,NA,50,NA,NA,41,22,NA,NA,NA,14,NA
1980,318,NA,12,24,NA,26,NA,40,NA,NA,40,13,NA,NA,NA,10,NA
1981,318,NA,NA,29,NA,27,NA,53,NA,NA,45,30,NA,NA,NA,13,NA
1982,318,NA,NA,40,NA,39,NA,63,NA,NA,60,35,NA,NA,NA,23,NA
1983,318,NA,25,34.8,NA,35.7,NA,57.5,NA,NA,47.7,30,NA,NA,NA,20,NA
1984,318,NA,11.5,22.6,NA,21.8,NA,40,NA,NA,37.9,21.5,NA,NA,0.5,12.8,NA
1985,318,NA,11,22.6,NA,22.1,NA,35,NA,NA,31.7,18.3,NA,NA,0.6,13.8,NA
1986,318,NA,27.5,41.4,NA,39.8,NA,85,NA,NA,69.5,40,NA,NA,1,17.7,NA
1987,318,NA,5,28.9,NA,28.2,NA,57.5,NA,NA,47.3,15,NA,NA,0.7,14.2,NA
1988,318,NA,9,8.5,NA,8.9,NA,22.5,NA,NA,22.5,10,NA,NA,0.08,6,NA
1989,318,NA,8,22.2,NA,21.8,NA,43.8,NA,NA,36.3,15,NA,NA,0.75,10.3,NA
1990,318,NA,18.5,33.7,NA,32.4,NA,47,NA,NA,50.7,30,NA,NA,1.5,17.7,NA
1991,318,NA,23,31.9,NA,39.5,NA,50,NA,NA,53.8,NA,NA,NA,0.9,27.5,NA
1992,318,NA,20,26.6,NA,28.8,NA,35,1050,25,60.2,21,1166,NA,0.5,20,NA
1993,318,NA,30,35.9,1010,42.3,NA,60,622,36.1,49.1,20,756,NA,NA,24.6,NA
1994,318,NA,25.1,36.8,1048,38.5,NA,53.5,1179,21.2,58.9,NA,1425,NA,1.75,22.4,NA
1995,318,NA,20.8,26.2,760,27.7,NA,40,912,16.3,46.4,NA,986,NA,0.75,18,NA
1996,318,NA,28.8,36.6,1267,38.3,NA,62.2,1628,31,60.7,NA,1257,0,1.7,25,NA
1997,318,NA,21,27.5,1075.8,31.1,NA,48.9,1104.4,20.9,49.3,NA,863.4,NA,1.6,16.5,NA
1998,318,NA,12.2,18.3,549.3,18.6,NA,25.4,585.9,15.2,33.8,14.5,478.6,NA,NA,14.8,NA
1999,318,NA,25.8,32,1091.9,34.3,NA,50,1501,33.9,59.5,NA,1198.3,NA,NA,19.6,NA
2000,318,NA,25.3,30,1260.2,29.7,NA,48.3,1044.1,23.4,43.8,30,684.3,NA,NA,15,NA
2001,318,NA,9.7,15.4,857,17.6,NA,30,469,9.4,27.6,20,358,NA,NA,13.5,NA
2002,318,NA,NA,8,NA,7.5,NA,NA,390,NA,13.1,NA,209,NA,NA,NA,NA
2003,318,NA,16,24.7,638,29.1,NA,33.2,801,20.9,37.5,25,770,NA,NA,9.9,NA
2004,318,30,29.1,32.6,951,28.9,NA,59.4,1070,29.3,46.6,47.5,783,NA,NA,17.3,NA
2005,318,NA,37.6,36.5,1500,46.5,NA,62.3,1797,39.9,64.7,30.3,1164,NA,NA,23.3,NA
2006,318,NA,28.7,32,1073,31,NA,41.1,985,35.5,54.1,25,778,NA,NA,19.4,NA
2007,318,36,26.8,29.1,466,35.6,NA,54.9,1342,32.3,49.4,30,770,NA,NA,20,NA
2008,318,NA,35,36.4,986,38.2,NA,65.6,1299,32.9,56.6,20,1235,NA,NA,26,NA
2009,318,NA,39.8,37.7,1175,38.2,NA,69.8,1952,38.3,62.7,25,NA,NA,NA,NA,NA
2010,318,NA,31.9,34.2,807,35.5,NA,58.3,848,24.9,45.2,NA,354,NA,NA,25,NA
2011,318,NA,39,44.5,1129,47.7,NA,77.5,1739,37.7,67.9,NA,993,NA,NA,25.3,NA
2012,318,NA,26,38.9,NA,41.5,NA,NA,1061,25.9,43,NA,1047,NA,NA,NA,NA
2013,318,NA,40.4,51.3,1120,51.1,NA,80.4,1986,41.8,75.8,NA,1660,NA,NA,33.3,NA
2014,318,NA,29.69,25.75,574.8,29.07,0,67.45,661.15,20.4,44.88,35,811.82,0,0,17.94,NA
2015,318,NA,38.62,38.32,1410.94,41.44,NA,67.14,1734.18,32.6,60.27,20,1450.03,NA,NA,29.87,NA
2016,318,40,42.2,41,875,38,NA,65.1,951,45.6,59.3,50,1274,NA,NA,18.7,NA
2017,318,NA,44.29,52.83,NA,56.03,NA,80,1796.13,47.5,71.79,35,1684.63,NA,NA,30.69,NA
2018,318,NA,39.4,46.3,NA,43.5,NA,NA,1628,37,64.3,NA,1504,NA,NA,30,NA
2019,318,NA,42.3,47,NA,44.2,NA,NA,1781,36.3,60.6,NA,1118,NA,NA,NA,NA
2020,318,NA,41.1,52.1,NA,54,NA,73.5,1576,36.1,71,NA,1735,NA,NA,29.3,NA
2021,318,NA,14.7,24.3,NA,12.9,NA,4.9,694,12.6,17.6,NA,542,NA,NA,8.1,NA
2022,318,NA,20.1,29.1,817.9,28.6,NA,25,987.7,20.8,38.9,NA,941.4,NA,NA,13,NA
2023,318,NA,24,28.5,NA,21.6,NA,14.9,1104.7,22.9,32.3,NA,608.5,NA,NA,10.1,NA
2024,318,NA,37,51.1,NA,52.9,NA,NA,961,23.3,65.9,NA,1537,NA,NA,24.6,NA
2025,318,NA,51.8,63.5,NA,68.4,NA,NA,2226,56.4,91,NA,2010,NA,NA,43.1,NA
1938,319,NA,NA,13,NA,NA,NA,50,NA,NA,28,NA,NA,NA,NA,8,NA
1939,319,NA,NA,25,NA,NA,NA,46,NA,NA,34,NA,NA,NA,NA,10,NA
1940,319,NA,NA,27,NA,NA,NA,52,NA,NA,37,NA,NA,NA,NA,12,NA
1941,319,NA,NA,12,NA,NA,NA,23,NA,NA,18,NA,NA,NA,NA,7,NA
1942,319,NA,NA,28,NA,NA,NA,52,NA,NA,37,NA,NA,NA,NA,10,NA
1943,319,NA,NA,8,NA,NA,NA,17,NA,NA,14,NA,NA,NA,NA,5,NA
1944,319,NA,NA,13,NA,NA,NA,24,NA,NA,18,NA,NA,NA,NA,5,NA
1945,319,NA,NA,11,NA,NA,NA,20,NA,NA,12,NA,NA,NA,NA,5,NA
1946,319,NA,NA,15,NA,NA,NA,23,NA,NA,20,NA,NA,NA,NA,4,NA
1947,319,NA,NA,7,NA,NA,NA,7,NA,NA,8,7,NA,NA,NA,3,NA
1948,319,NA,NA,8,NA,NA,NA,15,NA,NA,12,8,NA,NA,NA,6,NA
1949,319,NA,NA,14,NA,NA,NA,26,NA,NA,21,6,NA,NA,NA,6,NA
1950,319,NA,NA,18,NA,NA,NA,32,NA,NA,23,9,NA,NA,NA,4,NA
1951,319,NA,NA,28,NA,NA,NA,49,NA,NA,39,16,NA,NA,NA,13,NA
1952,319,NA,NA,30,NA,NA,NA,54,NA,NA,38,16,NA,NA,NA,14,NA
1953,319,NA,NA,28,NA,NA,NA,46,NA,NA,34,19,NA,NA,NA,11,NA
1954,319,NA,NA,17,NA,NA,NA,42,NA,NA,28,16,NA,NA,NA,10,NA
1955,319,NA,NA,28,NA,NA,NA,47,NA,NA,37,18,NA,NA,NA,13,NA
1956,319,NA,NA,27,NA,NA,NA,47,NA,NA,38,19,NA,NA,NA,12,NA
1957,319,NA,NA,20,NA,NA,NA,38,NA,NA,33,15,NA,NA,NA,6,NA
1958,319,NA,NA,17,NA,NA,NA,33,NA,NA,27,5,NA,NA,NA,10,NA
1959,319,NA,NA,17,NA,NA,NA,29,NA,NA,26,NA,NA,NA,NA,6,NA
1960,319,NA,NA,17,NA,NA,NA,29,NA,NA,24,12,NA,NA,NA,8,NA
1961,319,NA,NA,14,NA,NA,NA,27,NA,NA,20,NA,NA,NA,NA,11,NA
1962,319,NA,NA,18,NA,NA,NA,51,NA,NA,41,NA,NA,NA,NA,11,NA
1963,319,NA,NA,29,NA,NA,NA,57,NA,NA,46,20,NA,NA,NA,15,NA
1964,319,NA,NA,19,NA,NA,NA,35,NA,NA,26,10,NA,NA,NA,10,NA
1965,319,NA,NA,24,NA,NA,NA,50,NA,NA,40,18,NA,NA,NA,11,NA
1966,319,NA,NA,38,NA,NA,NA,71,NA,NA,60,23,NA,NA,NA,18,NA
1967,319,NA,NA,21,NA,NA,NA,46,NA,NA,34,NA,NA,NA,NA,10,NA
1968,319,NA,NA,18,NA,NA,NA,43,NA,NA,31,NA,NA,NA,NA,11,NA
1969,319,NA,18,27,NA,NA,NA,50,NA,NA,41,13,NA,NA,NA,15,NA
1970,319,NA,22,33,NA,33,NA,69,NA,NA,47,27,NA,NA,NA,20,NA
1971,319,NA,22,30,NA,28,NA,63,NA,NA,51,24,NA,NA,NA,17,NA
1972,319,NA,15,25,NA,23,NA,55,NA,NA,43,20,NA,NA,NA,14,NA
1973,319,NA,16,27,NA,26,NA,57,NA,NA,45,15,NA,NA,NA,13,NA
1974,319,NA,12,26,NA,24,NA,52,NA,NA,44,20,NA,NA,NA,10,NA
1975,319,NA,15,29,NA,28,NA,55,NA,NA,43,23,NA,NA,NA,14,NA
1976,319,NA,17,35,NA,35,NA,67,NA,NA,49,20,NA,NA,NA,20,NA
1977,319,NA,19,28,NA,29,NA,56,NA,NA,44,18,NA,NA,NA,12,NA
1978,319,NA,16,30,NA,27,NA,43,NA,NA,48,24,NA,NA,NA,18,NA
1979,319,NA,23,33,NA,32,NA,45,NA,NA,52,NA,NA,NA,NA,20,NA
1980,319,NA,20,28,NA,29,NA,40,NA,NA,46,NA,NA,NA,NA,13,NA
1981,319,NA,24,30,NA,30,NA,50,NA,NA,50,NA,NA,NA,NA,14,NA
1982,319,NA,33,41,NA,37,NA,63,NA,NA,62,25,NA,NA,NA,25,NA
1983,319,NA,29,32.7,NA,32.6,NA,45,NA,NA,54,27.3,NA,NA,NA,20.5,NA
