Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas
2024,167,31.6,31.5,22.3,40,54.2,29.7
2015,168,19.49,31.74,32.41,51.28,33.09,22.6
2016,168,27.8,52.6,51.4,79.3,32,40.6
2017,168,33.65,43.59,30.68,35,37.72,28.2
2018,168,28.5,35.2,33.4,42,33.5,22.1
2019,168,35.2,34.8,35.5,48.3,58.3,31.8
2020,168,39.3,40.5,32.2,70.1,67.2,44.3
2021,168,13.8,12.7,14.2,15,13.4,16.2
2022,168,21.9,24.1,16.6,37.3,22.8,20.8
2023,168,9,13.9,9.5,18.7,18.9,13.1
2024,168,27.5,31.2,18.3,34.2,27.5,39
2015,169,29.95,26.26,31.48,30.27,,17.6
2016,169,45,53.2,56.6,74.1,63.1,32.5
2017,169,42.75,42.05,37.59,,,26.1
2018,169,33,38,33,54,,26.1
2019,169,35.5,34.2,28,44.9,,29.6
2020,169,50.2,44.4,33.5,60.8,57.3,44
2021,169,,13.3,15.6,15.1,,14
2022,169,20.9,22.7,17.5,29.7,,18.3
2023,169,20.3,9.4,10.4,11.8,,9.6
2024,169,23.8,22.9,16.1,33,21.4,21.5
2015,171,32.41,30.41,23.32,47.68,37.34,24.6
2016,171,47.8,39.6,39.2,45.2,75,35.5
2017,171,34.95,35.77,22.07,29.03,,27.2
2018,171,30,29.9,22.1,29,26,24.1
2019,171,20.9,22.8,20.4,27.8,36.1,21.6
2020,171,24.2,25.2,16,29.6,,27
2021,171,11.1,8.8,8.4,7.4,,9.9
2022,171,18.6,21.3,10.9,18.6,16.2,21.1
2023,171,5,4.9,,4.5,,7.1
2024,171,13.3,17,7.7,29.3,21.5,18.1
2015,181,47.25,,41.11,49.84,80.42,43.5
2016,181,41.2,,37.1,57.4,79.5,37.1
2017,181,54.71,,39.57,76.02,83.07,46.4
2018,181,56.4,,39.6,76.8,93,54
2019,181,63.5,,48.8,86.9,82.7,
2020,181,55.8,,43.6,74.5,82.7,41.4
2021,181,46.7,,34.1,52.4,61.7,36.2
2022,181,47.5,,38.2,80,101.6,49.4
2023,181,44.6,,40.1,88,91.3,35
2024,181,54.7,,36.7,98.4,107.5,42.5
2015,183,46.34,,36.55,55.33,50.28,35.9
2016,183,40.9,45.4,35.7,64.2,75.1,31.1
2017,183,45.16,,32.62,76.47,72.53,37.3
2018,183,50.4,,37.5,71.3,74.9,41.5
2019,183,60.9,,43.6,61.2,88.1,43.5
2020,183,49.7,,35.4,82,81.4,45.5
2021,183,33.2,,20.7,43.5,40,27.6
2022,183,57.8,,36.3,80.5,88.3,48.5
2023,183,54.6,,39,61.9,67.9,32.7
2024,183,62.2,61.7,35.8,86.9,105.6,42.7
2015,184,34.7,,34.18,53.25,64.19,36.3
2016,184,32.1,40,32.8,41.4,76,23.1
2017,184,45.41,,32.02,52.2,68.63,31.2
2018,184,49.7,,32,64,71.3,35
2019,184,48.6,,41.7,69.2,70.9,40.9
2020,184,36.2,,29.9,47.4,56.4,29.6
2021,184,36.9,,26.7,31.6,40.1,21.9
2022,184,49.2,,37,63.3,89.9,27.1
2023,184,43.7,,36.9,63.4,61.7,36.3
2024,184,56.3,58.4,33.5,68.9,87.3,35.9
2015,185,37.73,36.17,36.81,59.61,83.97,38.4
2016,185,44,,36,69.6,83.6,39.2
2017,185,43.71,,33.29,58.9,81.1,36.3
2018,185,47.1,,36.8,60.1,81.1,33.6
2019,185,58.8,,47,75.5,97.1,49.2
2020,185,47.2,,37.1,65.1,69.6,38.2
2021,185,43.8,,35.8,57.1,57.3,31.3
2022,185,56.1,,44.4,80,108.8,43.2
2023,185,54.5,,43.8,74.3,90.9,36
2024,185,58.1,,39.1,80,90.5,41.6
2015,186,46.11,42.82,41.2,74.84,71.22,48.4
2016,186,48.3,54.5,44.2,81.9,75.1,39.9
2017,186,49.92,53.91,38.59,76.14,80.59,44.8
2018,186,53.5,59,41.3,76.1,81,44.8
2019,186,64.5,78.7,52,89.1,116.3,44.8
2020,186,54.2,54.8,41.3,79.5,99.3,45.4
2021,186,39.6,45.4,27.9,59.6,67.1,30.6
2022,186,63.7,70.8,51.7,96.2,132.5,44.7
2023,186,66.6,59.6,46.7,86.3,,46.4
2024,186,57.3,56.9,34.3,92.6,100,45.2
2015,187,44.09,36.24,39.5,64.79,65.96,40.1
2016,187,48,45.1,43.6,74.6,89.9,48.6
2017,187,48.5,54.82,37,69.79,,30.7
2018,187,51.7,54,38.4,64,,38
2019,187,44.5,46.5,44,64.3,96.2,32.5
2020,187,54.5,56.1,41.7,61.3,,45.6
2021,187,38.1,36.3,23.7,41.3,38.3,27.2
2022,187,65.2,69,48.8,73.9,,50
2023,187,74.7,56.2,48.8,73.3,,50.2
2024,187,61,65.7,36.8,80.1,,39.6
2015,189,37.5,36.15,36.52,53.89,83.73,32.8
2016,189,39.8,51.9,42.5,71.7,51.1,42.9
2017,189,39.79,38.49,27.16,60.87,75.21,29.8
2018,189,38.1,40,32.1,57,,29.8
2019,189,49.5,49.5,43.8,60.2,63.2,34.2
2020,189,50.6,61.2,41.2,76.8,93.1,50.2
2021,189,38.7,40.1,24.9,49.2,39.5,26.6
2022,189,53.9,55.9,46.4,73.7,108.9,44.1
2023,189,48,50.1,40.1,72.6,65.1,38.9
2024,189,43,40.2,31.6,67.8,,34.6
2015,190,30.68,31.86,32.4,50,39.91,32.4
2016,190,38.6,31.5,36.3,52.8,54.7,43.1
2017,190,31.57,20.56,25.21,43.58,40.87,30.6
2018,190,31,20.5,25.2,40.2,43.3,29
2019,190,31,33.3,27.9,51.2,46.1,32.3
2020,190,40,41.8,30.5,62.2,49.3,44.4
2021,190,23.6,19.8,18,34.6,32.4,27.1
2022,190,38.7,48.1,39,67.3,57.1,48.6
2023,190,32.5,26,25,44.6,30.5,35.3
2024,190,37.5,32.7,26.1,58.2,68.7,33.7
2015,191,34.74,37.52,34.07,64.65,,31
2016,191,55.4,53.4,48.8,64.2,110,35.4
2017,191,53.61,54.38,35.51,56.73,,35.1
2018,191,56,56,46.5,51,,38
2019,191,51.3,51,46.5,80.4,,36.9
2020,191,63.8,63.1,40.7,60.1,,45
2021,191,38.2,29.7,23.7,38.2,,17.2
2022,191,45.9,55.2,41.7,60.8,,40.4
2023,191,40.4,34.9,29.5,41.6,,32.2
2024,191,56,54.6,43.2,62.4,,44.6
2015,193,30.03,29.12,32.12,55.7,70.2,28.5
2016,193,36.9,51.6,46.2,59.7,78.3,36.9
2017,193,37.95,43.98,32.69,57.66,43.78,24.4
2018,193,41.7,44,38.5,59,59.5,29.8
2019,193,39.5,38.6,36.1,65,62.5,26.5
2020,193,41.3,43.8,34,64.6,53.1,31
2021,193,19,13.9,13.9,21.5,24,11.5
2022,193,33.1,31.5,23.9,43.8,38.6,20.4
2023,193,26.9,21.2,19.5,22.1,3.6,25.5
2024,193,38.3,34.8,29.6,51.1,,30.8
2015,194,29.08,21.63,28.68,35.75,47.64,23.2
2016,194,35,51.8,44.2,60.8,64.7,32.3
2017,194,37.62,35.31,30.64,56.42,,23.2
2018,194,42,44,40,49,29,27
2019,194,47.8,47.4,41.1,49.1,35.7,21.9
2020,194,45,52.4,37.1,70.4,,39.8
2021,194,15.4,10.6,14.7,12.5,,
2022,194,27.7,30.5,19.4,35,8.1,16.5
2023,194,24.2,19.8,18.3,26.5,11,
2024,194,40,41.9,31.9,50.6,44.3,32
2015,211,43.97,,39,73.78,75.97,34.4
2016,211,47.2,,44,75.5,82.4,46.9
2017,211,52.85,,41.76,76.93,86.42,42.6
2018,211,52.8,,36.9,75.2,85.9,50
2019,211,60.9,,47.2,81.2,92.6,53.9
2020,211,55.4,56.5,43.6,84.6,98.3,49.9
2021,211,43,40,32.7,54.9,65.9,33.6
2022,211,59.3,,46.8,80.3,118.6,49.1
2023,211,60.8,,46.7,77.6,95.5,42.6
2024,211,62.7,57.8,36.7,78.1,102.9,45.9
2015,213,42.89,,41.08,55.54,87.89,38.6
2016,213,48.8,,39.7,66.6,86.4,39.4
2017,213,46.41,,35.85,65.81,85.01,40
2018,213,54.1,,35.9,69.1,95,45.5
2019,213,54.4,,45.8,82.1,99,44.1
2020,213,44.6,,40.3,60.9,80.9,35.6
2021,213,38.7,,28.8,40.4,52.2,29.6
2022,213,60.2,,42.9,75.4,111.6,50
2023,213,57,,43.1,70.5,91,43.5
2024,213,61.7,,35.9,76.5,100.5,53.5
2015,214,36.14,19.96,32.76,58.95,79.75,45.1
2016,214,39.1,,38,53.1,77.1,37.7
2017,214,42.52,,31.24,69.95,66.82,41.4
2018,214,45,,36.1,54,74.3,36.6
2019,214,49.9,,46.4,68.5,85.6,49.5
2020,214,41.4,,35.7,43.2,60.8,32.6
2021,214,34.8,,26.6,48.5,50.8,18.7
2022,214,55.7,,42.4,67.8,92.7,46.4
2023,214,57.2,,43.5,74.4,91.4,46.4
2024,214,60.3,,33.9,74,105,43.5
2015,215,38.45,,31.91,58.98,84.11,38.2
2016,215,41.9,,40.8,57.6,88.4,34.2
2017,215,40.07,,30.1,66.56,74.36,32.8
2018,215,44.3,,35.5,72,74.4,38
2019,215,54.5,,46,74.7,90.9,42.9
2020,215,46.2,,36,70.4,85,40.3
2021,215,37.4,,30.2,46.3,55.5,29.1
2022,215,55,,45.5,69.5,112,41.6
2023,215,56.9,,44,73.7,82.8,51.1
2024,215,59,45,36.8,67.9,92.9,46
2015,216,40.22,49.98,36.41,51.53,82.83,41.8
2016,216,46,36.8,34.2,67.7,82.4,36.2
2017,216,44.05,,32.5,66.85,75.54,39
2018,216,44.1,30,36.2,66.8,86.2,38.4
2019,216,50.7,,40.3,79.7,92.3,47.8
2020,216,47.1,,39.5,65.5,95.1,45.8
2021,216,38.5,,27.3,45,60.3,25.2
2022,216,57.2,,47.4,80.2,116.2,56.1
2023,216,47.7,,37.2,62.6,93.6,42.8
2024,216,48.3,,34.4,69.6,93.1,42.5
2015,217,37.46,37.14,34.23,47.35,67.29,27.5
2016,217,43.9,44.4,41.9,59.1,77.6,33.4
2017,217,47.53,46.74,35.71,54.2,76.77,33.7
2018,217,52.1,50,40.9,69.5,81.6,38.6
2019,217,50.1,51.8,40,68.9,88.8,34.1
2020,217,44.7,,40.7,75.8,97,35.8
2021,217,42.4,,31.2,54.7,50.1,25.8
2022,217,56.4,53.7,52.3,73.7,102.5,46.2
2023,217,62.4,,40.3,78.8,120,47.2
2024,217,59.4,60.3,37.5,73.1,82.8,37.1
2015,218,34.37,41.76,35.89,54.8,59.49,31.4
2016,218,38.6,48.2,34.2,54.5,68.4,35.9
2017,218,44.13,54.73,34.95,64.5,69.58,30.3
2018,218,43.1,42,34.6,64.5,59,27.7
2019,218,53.4,48.9,44.7,70,83.8,36.2
2020,218,53.1,54.7,44.5,73.9,,41.7
2021,218,35.7,25.8,27.9,43.8,51.7,24.5
2022,218,55.4,60.8,45.2,75.6,91.2,42.9
2023,218,60.5,54.7,43.5,70.5,,40.1
2024,218,55.9,55.7,38.5,80.4,85.5,37.3
2015,219,31.53,33.88,31.65,46.06,64.67,28.3
2016,219,41.4,43.3,37.1,57.9,76.6,36
2017,219,37.91,48.31,33.74,58.05,56.15,32.6
2018,219,37.9,41,33.7,58,49.8,32.6
2019,219,53.7,54.5,40.9,76,82.5,36.3
2020,219,47.3,49.2,35,72.8,74.4,38.2
2021,219,28.8,28.4,23.8,45.8,33.1,19.9
2022,219,46.4,53.7,41.1,71.2,89.5,39.8
2023,219,46.5,41.2,37.8,67.4,52.5,36.4
2024,219,49.2,47.7,35.1,68.5,69.8,40.8
2015,220,33.87,39.92,36.87,58.93,72.84,32.6
2016,220,40.5,44.8,41.4,57.5,64.3,36.7
2017,220,34.92,41.51,29.91,39.98,42.84,34.3
2018,220,35.6,35.2,33.3,40.5,42.8,29
2019,220,49,48,44.4,54.2,83.5,40.2
2020,220,39.1,40.8,31.6,54.5,58.5,41.3
2021,220,30.4,28.4,23.4,42.3,31.2,28.1
2022,220,52.4,61.3,42.5,75.3,64.4,44.4
2023,220,46.6,34.5,35.1,64.3,49.9,41.3
2024,220,37.5,36,31.3,67.5,54.2,33.5
2015,221,34.39,36.03,36.17,59.57,70.77,36.4
2016,221,40.5,40.5,35.3,63.8,56.7,40.3
2017,221,48.59,31.73,35.93,43.37,54.14,32.9
2018,221,44.7,40,35.9,58,53.5,32.9
2019,221,46.4,42.1,42.5,63.1,53,40.6
2020,221,47.1,45.1,31.1,66.6,68.4,38.9
2021,221,19.4,15.8,14.6,21.3,26.7,15.4
2022,221,41.4,43.3,33.5,55.7,72.1,37.9
2023,221,37.2,34.6,26.4,78.4,70,36.8
2024,221,43.1,41.5,30.7,56.6,55.9,37.6
2015,222,44.75,51.73,41.79,61.15,99.97,40.9
2016,222,47.2,54.4,46.5,75.5,100.5,41.4
2017,222,53.46,57.33,31.08,67.68,91.05,36.9
2018,222,49.8,48.5,37,70,90,38
2019,222,51.6,49.5,48.9,78.1,101.4,35.6
2020,222,47.1,43.1,41.5,83.1,92.7,42.7
2021,222,21.1,15,16.7,18.5,25.7,18.5
2022,222,42,44.4,33.6,59.9,86.9,37.8
2023,222,37.1,28,25.2,46.7,45.1,29.9
2024,222,47.8,38.7,33.4,54.1,95.2,37.9
2015,223,30.01,38.52,39.04,55.25,39.79,38.6
2016,223,40.1,45.6,44.3,57.5,52.7,42.8
2017,223,37.91,42.76,27.36,52.79,45,32.9
2018,223,37.2,36.5,34.1,39.5,40,28
2019,223,41.7,46.2,40.3,59.7,56,32.5
2020,223,39.2,45.2,34,48.8,40,36.7
2021,223,15.3,13.5,12.4,10.3,25,12.2
2022,223,28.7,29.6,20.5,29,37,19.7
2023,223,25.2,22.6,16.2,27.8,,19.4
2024,223,39.1,38.2,33.8,53.7,38,30.4
2015,224,32.65,31.41,34.82,31.42,41.73,23
2016,224,48.8,56.9,50.7,40.1,,51.9
2017,224,42.05,40.77,37.22,49.63,,27.6
2018,224,49,43,42,,,28
2019,224,53.4,56.7,48.4,50.5,,29.3
2020,224,53.1,64.3,42.6,68.3,,
2021,224,20.5,23.4,26,13.7,,26.8
2022,224,31.5,47.9,29.3,41.7,,16.5
2023,224,25.6,41.7,25.4,47,,23.8
2024,224,50,56.8,39,65.2,,44
2015,225,35.64,31.71,32.35,61.04,,24.8
2016,225,53,45.9,41.5,79.5,55,42
2017,225,34.09,36.47,28.98,52.55,,25.8
2018,225,33.9,30,31.8,51,,24
2019,225,36.4,38.6,31.9,55.8,,28.2
2020,225,54.1,52,37.3,71.1,,40.5
2021,225,21.8,15.1,11.4,16,,12.8
2022,225,27.4,26,16.9,17.7,,18.7
2023,225,20.2,17.6,13.9,15.3,,15.1
2024,225,42.1,39,30,64.8,,28.6
2015,226,29.3,28.75,35.96,42.04,41.14,18.4
2016,226,43,50.9,46.7,68.9,57.6,32.5
2017,226,49.27,38.31,28.03,47.7,49.8,21.4
2018,226,46.8,35.2,28,47.7,43,21.4
2019,226,37.7,35,34.8,44.6,27.6,26.5
2020,226,50.4,45.5,34,66.8,70.2,40.7
2021,226,20.4,14.3,12.5,14.7,11.6,12
2022,226,23,20.5,11.6,29,17.8,20.4
2023,226,24.1,18.8,15.9,28.8,9.6,17.2
2024,226,44.3,41.4,30.5,59,60.9,27
2015,228,41.56,33.95,37.07,36.43,34.16,22.1
2016,228,35.8,39.4,37.8,40.1,80,34.3
2017,228,41.52,45.13,32.21,59.94,41.3,29.6
2018,228,38.8,39.1,32.2,58.6,,29.6
2019,228,20.3,20.4,24.4,36.2,29.2,22.3
2020,228,45.1,39.2,28.7,53.3,53.2,38.7
2021,228,16.4,11.8,9.9,11.7,18.1,14.1
2022,228,15,11.6,8,10.5,3.9,11.2
2023,228,20.4,16.8,13,16.2,3.8,19.6
2024,228,35.3,35.1,19.1,40,33.4,30.8
2015,229,18.66,34.91,30.21,47.6,,21.8
2016,229,24.2,50.8,55.5,61.5,,39.1
2017,229,50.76,40.25,28.52,50.92,,32.8
2018,229,28.5,31,28.5,43.6,35,24.9
2019,229,30.4,28.3,24.6,41.3,40,29.6
2020,229,36.8,35.1,27.9,53.5,40,33
2021,229,15.9,11.1,10.5,6.9,,11.3
2022,229,21.7,18.2,9,34.1,25,20.5
2023,229,17.2,13.3,7.6,20.5,14.3,17.1
2024,229,26.7,26.5,21.2,30.1,,24.7
2015,230,35.37,24.92,20.58,39.1,46.99,14
2016,230,32.6,45.1,50.8,72.4,33.6,36.6
2017,230,41.57,41.34,23.29,57.78,,31.8
2018,230,34,33.5,22.8,40,,26.4
2019,230,26.6,27.5,19.4,41.8,,26
2020,230,30.1,34.7,24.5,51.4,,34.6
2021,230,29.4,13.8,12.8,11.3,16.6,12
2022,230,23.4,23.9,16.2,26.9,13,19.7
2023,230,10.9,16.2,11.6,15.8,17.9,17
2024,230,20.6,32.2,16.6,37,30,21.8
2015,231,36.28,29.8,27.82,34.99,50.21,24
2016,231,38.7,47.4,50.5,63.3,46.4,37.3
2017,231,40.71,44.87,32.71,54.09,,31.9
2018,231,33.9,37.4,36,29,,27.5
2019,231,29.5,23.8,21.9,40.8,,24.8
2020,231,32.2,32,20.5,32.9,31.4,29.3
2021,231,16.5,15.3,20.7,28,,15.7
2022,231,18.5,17,22.2,31.6,25.5,20.9
2023,231,11.2,11.6,9.8,12.6,,11.7
2024,231,29.2,28.6,20.3,44.6,26.5,23
2015,232,29.74,27.61,32.34,59.41,84.16,20.7
2016,232,45.9,43.2,43.9,54.8,62.4,42.3
2017,232,33.97,37.33,30,41.53,,29.7
2018,232,32,29,38,47,,29
2019,232,28,24.5,21.2,35.8,,18.4
2020,232,32.4,27.9,18.5,36.2,,27.6
2021,232,12.8,10,14.3,13.1,,11
2022,232,19.6,18.7,18.4,23.7,,14.9
2023,232,11.6,6.4,14.3,10.3,,11.3
2024,232,29.2,31.2,20.6,40.3,41.9,22.5
2015,241,37.48,35,36.05,58.87,72.04,32.8
2016,241,38.4,35,39.1,59.5,80.1,39.4
2017,241,49.13,40,39.16,63.63,83.37,47.8
2018,241,48.3,35,39.2,61,90.2,41.5
2019,241,53.3,45,40,68,92.3,42.6
2020,241,50,40,39.5,66.2,74.8,38.5
2021,241,34.3,25,25.8,41.8,48.6,24.9
2022,241,53.8,35,42.9,60.9,93.3,44.3
2023,241,47.4,30,38.8,62.1,64.1,43.1
2024,241,58.9,35,36,75.4,96.6,45.1
2015,243,48.44,,41.19,65.96,94.39,38.8
2016,243,52.8,,51.8,73.1,82.6,54.2
2017,243,51.8,,47.97,75.51,102.24,55.1
2018,243,50.9,,48,71.4,91.2,64
2019,243,51.5,,45.2,64.6,114.6,54.3
2020,243,44.4,,42.8,68.7,78.5,39.4
2021,243,33.3,,25.3,28.9,61.7,29.1
2022,243,52.5,69.3,43.9,67.4,137.3,65.8
2023,243,49.7,,40.8,91.4,108,52.7
2024,243,58,75.9,36,92.2,126.3,54.3
2015,244,42.1,,38.5,59.4,98.22,38.6
2016,244,42.1,,41.3,60.9,87,41.3
2017,244,53.01,,41.96,66.71,90.71,45
2018,244,53,,42,79,85.4,43
2019,244,58.3,,50,79.3,91.7,47.8
2020,244,50.6,,39.5,67.9,57.1,35.6
2021,244,37.8,,28.8,41.5,37.2,31.5
2022,244,60.3,,47.6,78.8,111.6,54.7
2023,244,55.6,,43.9,66.5,80.3,41.3
2024,244,63.1,,38.8,82.2,110,50
2015,245,35.95,,32.91,54.43,80.8,33.9
2016,245,45.2,,39.6,60.6,80.4,38.8
2017,245,44.87,,35.89,60.86,87.09,46.8
2018,245,44.9,,39.5,60.9,87,39.5
2019,245,58,,44.8,75.5,99.5,41.6
2020,245,50.4,,40.5,70.4,89.5,
2021,245,38.8,,27,43.4,60,32.1
2022,245,52.3,,42.8,74,100.4,45.8
2023,245,49.6,,40.6,71.9,82.7,
2024,245,55.7,,36.9,77.9,97.3,48.6
2015,246,31.4,23.7,28.34,58.83,78.91,24.4
2016,246,44.6,51.8,48.1,63.1,88.5,41.2
2017,246,39.87,,34,67.43,73.23,42.4
2018,246,37.7,,34.3,62.5,72.9,37.5
2019,246,38.5,,31,65.1,74.3,29.8
2020,246,45.6,,38.7,73.5,91.2,40.1
2021,246,38.8,,30.6,54.4,66,29.1
2022,246,52,,41.7,72.9,96.6,47.4
2023,246,59,,42.6,72,92.6,45.7
2024,246,47.4,,35.3,71.2,86.8,29.1
2015,247,32.24,41.58,30.06,54.21,75.76,30.4
2016,247,36.1,52.3,37.6,60.2,77.1,34.9
2017,247,40.56,,31.77,57.33,72.1,35.5
2018,247,43.8,,37.3,60.4,75.9,37
2019,247,45.5,,39.2,75.2,96.5,39
2020,247,45.8,,42.7,68.4,90.5,40.1
2021,247,33.9,,27.7,39.1,37.4,30.8
2022,247,54.5,,43.2,80.4,109.3,35
2023,247,58.5,,45,78.6,87.3,49.3
2024,247,57.6,,35.7,75.4,87.6,42.5
2015,248,30.73,34.19,32.19,44.01,69.72,32.9
2016,248,34.5,37.8,39.4,61.4,107.6,38
2017,248,42.26,51.01,27.59,58.09,65.68,29.7
2018,248,38.5,37,32.9,52.5,81,32.4
2019,248,50.8,47.5,39.2,66.5,100.2,37.8
2020,248,50.6,49.6,34.7,69,87.1,42.7
2021,248,38.9,34.5,27.9,52.1,46.5,23.6
2022,248,53.9,58.1,38.5,79.3,110.7,44.2
2023,248,48.5,44.1,38.1,71.6,69.3,40.7
2024,248,54.9,45.9,30.7,75.5,68,36.4
2015,250,32.85,43.92,35.22,48.47,44.36,38.4
2016,250,38.5,51.1,42.3,57.7,48.9,41.5
2017,250,44.35,42.65,31.87,61.61,,40.8
2018,250,41.2,41,31.9,60,,35.9
2019,250,45,40.4,39.1,61.5,,35.7
2020,250,41.3,42.5,31.5,53.8,,37.4
2021,250,26.6,17.2,17.9,29.4,27.7,22.2
2022,250,41.8,48.5,35.4,65.1,58.8,35.8
2023,250,41.7,37.7,30.2,50.2,,31.9
2024,250,45.1,42.7,34.5,60.8,80.8,
2015,251,37.82,36.82,33.4,52.85,53.13,38.3
2016,251,43,40.6,43.4,67.3,44.5,45.1
2017,251,41.02,43.66,33.79,53.18,58.89,33.4
2018,251,41,38.5,33.8,52.5,66.5,33
2019,251,44.6,40.2,41.4,61.4,73,47.5
2020,251,52.1,55.8,35.4,73.7,73,47.6
2021,251,22.3,19.6,12.9,12.6,3.5,15
2022,251,42.6,42,34.2,56.9,103.7,34.5
2023,251,37.7,31.8,27.9,45.9,,27.4
2024,251,52.7,46.9,34.6,82,80.6,36
2015,252,42.86,44.01,35.59,67.3,116.93,43.5
2016,252,40.5,45.3,38.4,74.6,60,45.4
2017,252,42.38,47.37,30.81,54.52,,33.6
2018,252,43.9,48,38.6,59.6,,33.3
2019,252,50.7,52.3,45.8,75.8,100,36.1
2020,252,43.4,47,35.1,67.8,80,35.3
2021,252,22.8,13.4,14.4,16.1,,20.7
2022,252,40,38.6,31.3,68.1,81.1,33.2
2023,252,40.6,30.3,29,52,7.1,30.6
2024,252,52.3,46.3,36.3,78.9,,42.5
2015,253,34.21,42.29,35.81,68.07,55.33,31.5
2016,253,40.2,43.7,35.6,72.8,75.7,28.4
2017,253,47.01,46.1,32.93,71.57,,32.4
2018,253,47,48,32.9,62.3,46,30
2019,253,48.8,48.2,42.5,68.2,96.2,37.3
2020,253,50,55.1,33,64.3,80.5,39.2
2021,253,21.8,17.1,14,16.1,30.4,12.9
2022,253,36.3,33.9,23.4,42.9,38.1,29.2
2023,253,28.5,21.1,17.8,26.7,,18.6
2024,253,49.6,49.1,30.6,75.9,,28.5
2015,254,36.41,44.39,36.89,50.98,66.98,32.9
2016,254,42.6,50.4,39.8,73.4,55,34.8
2017,254,44.83,51.08,33.56,46.88,,32.5
2018,254,44.8,40,33.6,43.4,,30
2019,254,51.1,46.3,40.7,83.4,,34.4
2020,254,49.3,49.3,32.1,69,,39.6
2021,254,24.1,17.2,14.2,26.3,,15.6
2022,254,31.5,26.6,20.8,35.3,,20.7
2023,254,21.6,15.9,14.9,29.7,,25
2024,254,48.7,47.9,29.2,59.2,,32.4
2015,255,38.7,34.42,40.13,60.4,82.55,32.8
2016,255,43.2,45.9,44.3,58.1,80,43.2
2017,255,39.44,34.51,29.07,52.79,,30.8
2018,255,35.5,30,32.5,45,,30.8
2019,255,45.9,45.5,47.8,57.6,,38.7
2020,255,52.8,52.8,40.1,59.7,,41.4
2021,255,24.7,17.3,22,19.7,,20.5
2022,255,30.4,37.6,23,31.6,31.6,20.4
2023,255,23.9,18.9,19.7,28,29.7,22.3
2024,255,40.3,40.7,32.5,57.6,,32.1
2015,256,31.41,34.6,31.67,42.94,71,23.7
2016,256,39.5,41.4,39.2,43.8,66.6,33
2017,256,39.44,41.31,26.99,46.67,,31.1
2018,256,35,30,31,39,,24
2019,256,42.5,42.3,41.1,46.4,65.9,39.8
2020,256,46.9,52.4,35.1,57.3,,38.2
2021,256,18.3,9.9,11.3,10.8,34,14.4
2022,256,24.9,22.9,13,28.9,22.2,18.2
2023,256,17.2,15.4,11.5,20.8,,19
2024,256,38.5,36.6,25,52.3,38.6,32.8
2015,257,31.1,36.19,37.83,57.64,41.1,25.6
2016,257,38.9,43.9,47.8,67.7,49.5,36.6
2017,257,41.76,40.6,36.53,52.46,,28.3
2018,257,36.9,34.3,36.5,43.7,,24.8
2019,257,40.3,39.5,35.5,68,,30.8
2020,257,46.8,41.3,31.7,66.6,,39.8
2021,257,13.2,7.8,6.8,7.8,,11.4
2022,257,19.3,18.7,10.7,25.4,21.5,14.6
2023,257,21.3,14.3,13.2,18.5,24.1,16.8
2024,257,44.5,42.5,31.6,80.3,,34.6
2015,259,30.01,39.29,37.12,42.17,71.84,22.9
2016,259,47,42.4,44.1,56.8,70,40.3
2017,259,53.21,54.1,33.9,59.38,,36.5
2018,259,44,44.5,33.9,53.6,,31.2
2019,259,37.6,28.7,34.7,52.3,,32.3
2020,259,50.2,47.4,38.5,66.3,,42.8
2021,259,20.3,13,15.3,18.6,,14.5
2022,259,25.1,24.3,15.7,29,,19.1
2023,259,28,22,17,34.7,,18.8
2024,259,38.9,39.3,32.3,60.4,,29
2015,260,34.49,33.28,32.16,51.7,52,27.1
2016,260,34,44.2,44.1,64.8,,33.9
2017,260,44.25,46.66,28.27,71.94,,33.2
2018,260,43.5,46.7,32.1,54,,28
2019,260,24,23.7,18.8,32.9,,21
2020,260,42.3,43.1,34.5,65.1,,33.3
2021,260,20.2,13.9,14.2,22.1,,14.7
2022,260,27.2,24.5,19.7,35.2,,20.3
2023,260,27.9,19.7,17.9,30.7,,21.9
2024,260,44.1,38.5,32.5,53.8,,26.8
2015,261,36.69,31.82,29.14,49.01,73.75,20.6
2016,261,52.3,47.2,47.7,59,76.9,43.1
2017,261,40.06,45.42,30.78,56.87,,36.7
2018,261,40.1,45.4,36.2,52.2,,33.4
2019,261,23.2,27.8,22.7,32.2,,24.5
2020,261,35.6,35.3,38.8,53.3,22.4,33.3
2021,261,20.3,15.3,16.4,23.7,,13.2
2022,261,21.7,24.4,18.9,33.6,1.4,15.9
2023,261,20.5,15.9,18.5,23.4,20,17.4
2024,261,32.4,30.6,21.8,43.8,,28.5
2015,271,47.91,,41.62,67.29,97.99,41.5
2016,271,58.6,,52.5,47.9,85.3,55.9
2017,271,63.39,,51.46,105.94,95.18,71.7
2018,271,70.7,,54.9,99,129,58
2019,271,65.8,,56.3,92.6,121.8,61.8
2020,271,52,,49.1,71.3,89.6,55.8
2021,271,45.5,,39.4,45.4,73.3,35
2022,271,76.6,,54.8,84.3,113,55.1
2023,271,63.9,,48.2,69.7,66.7,37.4
2024,271,69.8,,41.9,85.7,92.6,52.3
2015,273,45.43,,40.12,62.28,89.92,43
2016,273,51,,43.3,68.8,92,52.5
2017,273,56.45,,44.52,78.74,90.51,54.9
2018,273,62.2,,48.3,79,99,55
2019,273,64.4,,52.8,88.3,95.6,51.1
