Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas,Lentils,Flax
2023,220,46.6,34.5,35.1,64.3,49.9,41.3,1845.3,17.4
2024,220,37.5,36,31.3,67.5,54.2,33.5,769,18.8
2025,220,49.3,43.3,37.7,70.5,48.9,40.5,1899,26.9
1990,221,30.2,26.9,20,32.8,60,,,20
1991,221,27.9,33,25.3,35,70,,,18.6
1992,221,33.4,29.6,32,35.8,60,,900,18
1993,221,25.2,31.2,27.4,44.6,65,8.3,800,23.4
1994,221,26.2,34.4,22.1,40,60,,1300,20
1995,221,24.6,26.5,18,37.1,50,17.4,,16.3
1996,221,26.6,31.6,21.3,49,75,29.2,1050,22.5
1997,221,21.3,24.8,17.4,37,54,25.8,815,14.6
1998,221,21.9,21.7,24,42.5,56.5,39.8,,19.9
1999,221,31.7,36.7,25.8,49.9,69.1,28.1,1108.7,22.8
2000,221,28.6,32.5,24.4,41.8,55.9,44.7,1088.4,18.2
2001,221,14.2,17.3,10.7,25.3,40,12.9,539,15.8
2002,221,18.9,16.9,12.2,26.1,35.2,18.6,465,9.8
2003,221,17.6,16.5,11,29.4,23.4,24.4,693,10.8
2004,221,21.6,18.3,15.1,39.6,49.6,30.4,931,10.5
2005,221,25.2,27.5,23.3,43.2,57.5,33.9,1234,19.3
2006,221,24.6,29.6,22.1,45.7,55.2,33.2,649,22.9
2007,221,22.2,22.8,18.8,32.6,53,30,1275,14.2
2008,221,27.3,38.1,24.6,53.8,52.5,36.3,1167,21
2009,221,36.4,46.8,31.5,58.7,82.5,39.1,1382,25.4
2010,221,30.9,34.7,29.7,35.9,85.3,33.1,1051,17.7
2011,221,34.6,39.5,32.1,46.8,50.7,34.8,1533,25.7
2012,221,35,43.5,23.3,41,47.2,25.3,1092,21.6
2013,221,44.3,54.3,36.1,70.3,64.2,37.7,1608,32.8
2014,221,31.78,33.58,26.92,39.74,53.63,18.9,711.89,20.54
2015,221,34.39,36.03,36.17,59.57,70.77,36.4,1201.72,25.06
2016,221,40.5,40.5,35.3,63.8,56.7,40.3,824,25.6
2017,221,48.59,31.73,35.93,43.37,54.14,32.9,1655.42,23.4
2018,221,44.7,40,35.9,58,53.5,32.9,1557,23.4
2019,221,46.4,42.1,42.5,63.1,53,40.6,1060,23
2020,221,47.1,45.1,31.1,66.6,68.4,38.9,1631,18.7
2021,221,19.4,15.8,14.6,21.3,26.7,15.4,760,7.6
2022,221,41.4,43.3,33.5,55.7,72.1,37.9,1128.6,21.7
2023,221,37.2,34.6,26.4,78.4,70,36.8,1387.5,14.8
2024,221,43.1,41.5,30.7,56.6,55.9,37.6,1483,20.2
2025,221,36.2,35.1,30.6,47.4,60.9,39,1731,18.8
1990,222,33.5,25.5,25.5,39,50,,,25
1991,222,31.1,35,35,35,55,,,20
1992,222,30.5,32.8,37,50,46.1,,,20
1993,222,28.9,34.8,35.2,40.6,95,30,1200,25
1994,222,30,35.4,26.2,52,60,30,1104,20
1995,222,29.3,31.5,21.6,40,40,20,1188,19.2
1996,222,31.7,34.5,22.9,41.7,60,16.7,1082,22.5
1997,222,24.9,28.9,21,39.5,38.8,16.9,750,16.1
1998,222,21.8,21.4,23.9,53.9,53.8,33.6,1037.5,20
1999,222,30.8,32.7,28.5,47.7,65,44.4,1267.5,23.8
2000,222,26.6,31.8,24.4,48.1,50,37.8,1291.8,18
2001,222,17.4,15.5,16.4,33.9,40,15.6,577,16.5
2002,222,23.3,21.6,13.6,29.7,46.8,24.5,499,11.2
2003,222,24,22.7,14.5,42.3,65.6,27.2,1479,14
2004,222,25.9,32.2,23.5,47.3,40,42,1244,17.8
2005,222,34.2,38.9,29.5,55.7,57.2,40,1296,24.5
2006,222,30.9,32.5,24.9,50.7,55.5,29.4,1324,20.9
2007,222,25.3,35.6,21.4,42.3,43.6,36.1,1271,14
2008,222,26.8,37,26.5,53.5,65,30.8,1177,20.4
2009,222,45.3,46.6,36.5,67.5,55,45.9,1711,21.7
2010,222,41.5,41.5,32.8,55.8,51,31.5,1262,21.5
2011,222,40.6,45,33.2,60.2,66,36.1,1819,25
2012,222,33,39.7,22.9,61.3,,31.5,1288,20.9
2013,222,48.8,71.6,44.7,83.3,95.9,45.8,2059,31.5
2014,222,39.33,35.61,32.6,36.23,38.52,28.3,1177.45,15.71
2015,222,44.75,51.73,41.79,61.15,99.97,40.9,1383.78,25.55
2016,222,47.2,54.4,46.5,75.5,100.5,41.4,1265,27.1
2017,222,53.46,57.33,31.08,67.68,91.05,36.9,1561.41,21.69
2018,222,49.8,48.5,37,70,90,38,1487,21.7
2019,222,51.6,49.5,48.9,78.1,101.4,35.6,1428,23.1
2020,222,47.1,43.1,41.5,83.1,92.7,42.7,1637,25.5
2021,222,21.1,15,16.7,18.5,25.7,18.5,621,7.8
2022,222,42,44.4,33.6,59.9,86.9,37.8,933.2,23.5
2023,222,37.1,28,25.2,46.7,45.1,29.9,1118.6,12.5
2024,222,47.8,38.7,33.4,54.1,95.2,37.9,1402,
2025,222,45.9,42.8,31.8,62,81.7,33.2,1598,20
1990,223,28.5,33.3,14,30.5,40.7,,,23
1991,223,30.1,30.2,21.4,32.2,28.1,,,20
1992,223,32.6,17,32,60,49.2,,,25
1993,223,31.3,31.4,35,56.9,80,,677,
1994,223,29.1,23.3,23.4,40,62,,1100,
1995,223,21.8,22.2,17.9,44,40,30,775,15
1996,223,30.2,31.9,23.5,47,75,37.5,1447,20
1997,223,22,24.7,21.4,36.4,39.4,16.3,785.1,15
1998,223,21.7,28.6,25.2,32,37.5,32.6,1399.9,23.8
1999,223,26,28.7,35.2,41.7,39.4,37.2,1308,24.8
2000,223,26.4,27.3,25,38.4,54.5,29.3,1013.2,
2001,223,14.2,14.1,11.4,14.3,24.2,11.4,666,15
2002,223,18.3,17.4,6.7,25.7,11.1,19.3,811,7.2
2003,223,21.9,20.5,13.5,19.3,,28.4,,
2004,223,25,19.8,20.3,37,,35,1284,
2005,223,25.9,34.5,27.5,49.9,,42.2,1367,20.9
2006,223,24.6,22.7,22,40.9,,31.2,1109,15
2007,223,20.9,21.2,13.7,22.5,21.4,30.2,1049,14.6
2008,223,32.2,28.1,22.1,32.7,42.1,26.9,1224,11.8
2009,223,32.9,36.8,30.1,49.7,,33.5,1210,
2010,223,39.6,35.9,28.6,39.7,81.2,24.4,1408,26.7
2011,223,33.7,31.9,25.6,45.8,41.4,30.4,1421,25.7
2012,223,37.4,35.2,26.3,41.3,42.9,32.1,1437,18.9
2013,223,44.3,54.3,37.5,70.6,,40.2,1892,29.3
2014,223,38.24,33.1,30.91,46,26.84,32.5,1199.93,22.02
2015,223,30.01,38.52,39.04,55.25,39.79,38.6,1523.33,27
2016,223,40.1,45.6,44.3,57.5,52.7,42.8,1042,30.5
2017,223,37.91,42.76,27.36,52.79,45,32.9,1443.03,18
2018,223,37.2,36.5,34.1,39.5,40,28,1396,21
2019,223,41.7,46.2,40.3,59.7,56,32.5,940,18
2020,223,39.2,45.2,34,48.8,40,36.7,1014,23.9
2021,223,15.3,13.5,12.4,10.3,25,12.2,699,8.1
2022,223,28.7,29.6,20.5,29,37,19.7,909.7,
2023,223,25.2,22.6,16.2,27.8,,19.4,912,
2024,223,39.1,38.2,33.8,53.7,38,30.4,1075,25
2025,223,35.4,33.4,39.2,40.2,,32,1363,27.2
1990,224,31.1,35.4,20,32,55,,,22.7
1991,224,32.1,39.6,37.8,47.4,26.1,,,16.5
1992,224,26.9,25,36.9,30.4,52.2,,1000,25
1993,224,32.9,25,30.3,42.6,49.3,25,1298,25
1994,224,25.9,30.8,23.5,45,45,18.6,1074,30
1995,224,28.1,24.3,21,33.6,30,25,922,27.4
1996,224,33.2,34.8,23.2,47.2,51.3,29.3,1117,
1997,224,24.8,32.2,26.8,25.1,30,26.6,1087.2,
1998,224,27.7,28,22.7,39.5,34,31.3,903.8,25
1999,224,30.2,32.5,31.1,51.8,61,38.4,872.3,27.5
2000,224,30.2,34,27.5,45,55,33.2,1137.9,20
2001,224,19,24.3,17.1,24.8,29.1,17.9,642,11
2002,224,16.6,15.6,10.1,22.4,28.5,14.5,741,
2003,224,21.4,24.1,11,20.2,48.4,15.2,975,4.8
2004,224,32.7,30,26.6,24.7,55.6,26.3,1154,11.3
2005,224,32.5,35.1,21.8,33.7,44.5,33.3,1302,21.9
2006,224,48.2,22.8,32.8,,,26.8,,18.7
2007,224,30.8,,14.4,26.4,,19.7,879,
2008,224,,,23.3,47.4,,33.3,1121,22.5
2009,224,28,32.1,20.7,,,27.3,1275,36.7
2010,224,36.8,36.3,31.4,36,55.4,27,1164,27.1
2011,224,34.6,42.7,31,39.9,62.5,31.9,1774,28.1
2012,224,31.2,41.2,23.4,36.5,,27.3,1293,31.6
2013,224,42.6,49.1,40.3,43.6,,43.3,1620,32.1
2014,224,33.22,38.73,24.23,32.93,,21.9,1451.7,28.26
2015,224,32.65,31.41,34.82,31.42,41.73,23,1206.83,23.6
2016,224,48.8,56.9,50.7,40.1,,51.9,1470,25.1
2017,224,42.05,40.77,37.22,49.63,,27.6,1752.79,32.58
2018,224,49,43,42,,,28,1640,
2019,224,53.4,56.7,48.4,50.5,,29.3,1444,31.4
2020,224,53.1,64.3,42.6,68.3,,,1667,37
2021,224,20.5,23.4,26,13.7,,26.8,785,20.4
2022,224,31.5,47.9,29.3,41.7,,16.5,931.9,17.5
2023,224,25.6,41.7,25.4,47,,23.8,904,22.2
2024,224,50,56.8,39,65.2,,44,1218,23.5
2025,224,36.4,57.2,44.7,88,,40.8,1696,33.7
1990,225,32.7,32.4,18,47.3,66.7,,,29.3
1991,225,33.7,41.2,30.4,39,50.5,,,18.4
1992,225,31.1,33.6,20,40,45,,1000,15
1993,225,33.8,36.6,28.1,64.9,65.3,,1395,25.5
1994,225,27.4,26,21.4,45,52,,851,15
1995,225,29.4,29.8,22.6,40.8,55,36.8,1278,16
1996,225,35.2,34.5,24.6,50,58,27.9,1317,18.5
1997,225,34.2,29.3,17.1,38.2,51.6,27.4,1036.2,
1998,225,24.2,26.4,21.9,44.9,45.1,25.1,896.9,18
1999,225,35.9,39.4,29.6,50.5,62.5,41,1313.8,25
2000,225,30.8,31.1,24.1,40.6,36.3,30.5,1174,24.5
2001,225,18.8,16.6,12,28.7,25,14.6,709,13.5
2002,225,23.6,25.7,26,40.8,25,21,1036,16.1
2003,225,18,17.1,11.6,20.2,24.2,14.4,569,9.5
2004,225,29.9,30.3,25,46.5,45.2,25.2,1011,17.6
2005,225,32,34,23.4,49.7,56.7,40.3,1271,21.6
2006,225,25.4,29.4,23.9,40.7,38.3,27,933,19.6
2007,225,23.3,23.1,20.6,38.3,29.9,24.5,903,18
2008,225,30.4,29.5,21,40.6,,26.1,1151,
2009,225,23.8,26.4,27.9,41.3,56.5,22.9,962,20
2010,225,36.4,30.6,26.4,47.3,,25.7,1148,19.5
2011,225,40.5,40.7,34.3,49.1,57,36.3,1401,21.5
2012,225,32.5,29.7,26.2,40.3,,25.4,1216,21
2013,225,46.2,41.2,32.7,56,28,38.5,1905,31.8
2014,225,34.27,32.84,35.47,26.32,,21.7,1519.11,17.84
2015,225,35.64,31.71,32.35,61.04,,24.8,1454.67,25.86
2016,225,53,45.9,41.5,79.5,55,42,1266,36
2017,225,34.09,36.47,28.98,52.55,,25.8,1259.59,17.81
2018,225,33.9,30,31.8,51,,24,1184,20
2019,225,36.4,38.6,31.9,55.8,,28.2,1243,19.1
2020,225,54.1,52,37.3,71.1,,40.5,1675,24.6
2021,225,21.8,15.1,11.4,16,,12.8,752,6.5
2022,225,27.4,26,16.9,17.7,,18.7,833.2,10.6
2023,225,20.2,17.6,13.9,15.3,,15.1,826.1,
2024,225,42.1,39,30,64.8,,28.6,1206,15.8
2025,225,64.9,62.9,54.8,70,,45.8,1945,35.9
1990,226,33.5,37.9,20,41.2,40.7,,,16
1991,226,32.1,37,22,43.6,48.3,,,19.5
1992,226,33.5,35.6,20,42.7,80,,1457,15
1993,226,34.1,37.3,30,56.7,61.8,,1027,20
1994,226,28.5,26.9,23,50,60,19.9,999,20
1995,226,27.4,31.1,19.7,43.6,53.9,34,1401,
1996,226,36.3,40.2,22.5,59.2,70.4,23.5,1190,20
1997,226,29.9,35.8,22.6,40.5,57.5,30.3,1238.6,18
1998,226,25.5,32.6,24.2,30.2,44,30.5,1148,21.6
1999,226,35.4,40.1,31.9,52.5,69.9,47.8,1511.2,21.6
2000,226,32,37.2,25.5,48.6,60.7,44.1,1468,21.6
2001,226,21.1,21,15.5,29.9,38.1,17.7,755,10.1
2002,226,16.7,24,16.4,33,53.7,18.9,880,15.1
2003,226,15.8,15.1,6.2,25.7,27.1,12.2,666,10.4
2004,226,29.3,33.7,18.9,56.5,66.8,33.4,1221,17.7
2005,226,32.7,40.9,28.8,61.7,46,34.3,1352,22.8
2006,226,27.6,34.9,21,43.5,49.1,29.2,1181,17.7
2007,226,26.1,31,17.7,37.2,45.8,28.1,1131,13.2
2008,226,31.7,34.4,22.5,46.1,60.2,26.2,1300,19.7
2009,226,21.7,25.5,,39.8,33.6,20.9,912,15.1
2010,226,32.5,34.5,38.4,56.4,80.8,30.1,1499,18.2
2011,226,34.3,39,36.4,39.1,55.5,30.1,1392,18.7
2012,226,27.6,37.3,26.7,40.3,63.5,22,1346,15
2013,226,37.6,50.3,36.5,67.8,85.4,38.1,1831,22.7
2014,226,29.8,39.43,41.99,42.64,46.5,25.2,1584.64,26.19
2015,226,29.3,28.75,35.96,42.04,41.14,18.4,1230.74,14.31
2016,226,43,50.9,46.7,68.9,57.6,32.5,1119,39.2
2017,226,49.27,38.31,28.03,47.7,49.8,21.4,1373.9,21.74
2018,226,46.8,35.2,28,47.7,43,21.4,1316,22
2019,226,37.7,35,34.8,44.6,27.6,26.5,1389,20.3
2020,226,50.4,45.5,34,66.8,70.2,40.7,1615,33.3
2021,226,20.4,14.3,12.5,14.7,11.6,12,717,10.6
2022,226,23,20.5,11.6,29,17.8,20.4,695.7,11.7
2023,226,24.1,18.8,15.9,28.8,9.6,17.2,1084.1,14.3
2024,226,44.3,41.4,30.5,59,60.9,27,1091,21
2025,226,59.7,61.8,51.6,66.1,78.8,46.7,2176,38.3
1990,228,18.3,22.3,,22.7,23,,,9
1991,228,34.2,40.5,30,48.5,39.8,,,19
1992,228,31.4,33.9,20,66.1,91,,661,10
1993,228,33.1,37.7,19,57.4,60,36.3,1191,29.8
1994,228,26.6,34.5,20.5,49.6,40,20.2,1008,20.4
1995,228,33.5,36.6,22.9,47.8,55,18.7,1305,20.9
1996,228,40.4,43,,62.1,65,27.3,1663,
1997,228,33,38.9,21.7,51.4,64.2,30.5,1243,
1998,228,28.5,34.4,8,40.7,55.8,23.1,1201.3,12
1999,228,37.8,39.2,29.3,58.4,61.3,45.5,1560.2,15.5
2000,228,32.4,40.1,27.8,52,50,33.9,1448.7,18.2
2001,228,23.9,26.1,9.9,33.2,27.5,12.6,804,15.7
2002,228,15.1,16.5,16.1,22.5,18.6,11.4,848,
2003,228,22.2,22.2,11.9,32.1,31.7,20.1,758,11.7
2004,228,29.8,36.8,45.5,42.2,41,27.4,1163,20.9
2005,228,37,42.8,31.7,53.4,46.3,35.5,1561,26
2006,228,26.9,34.6,22.2,41.8,36.5,29.9,1128,15.7
2007,228,26.8,32.2,25.7,39.4,50,31.7,1241,20
2008,228,34,37.6,37.1,60.8,47,24.9,1217,20
2009,228,31.2,36.6,37.9,48.3,31,26.9,1301,
2010,228,34.1,38.4,43.9,44.1,42.1,39.1,1578,29
2011,228,37.9,47.5,42.2,57.2,77.5,31.9,1573,
2012,228,31.5,39.5,30.1,41.7,,29.7,1377,
2013,228,39.7,45.4,39,66.6,52.2,44.4,1640,29.8
2014,228,45.64,42.64,44.18,41.42,58.03,33.9,1741.28,26.92
2015,228,41.56,33.95,37.07,36.43,34.16,22.1,1113.07,23.99
2016,228,35.8,39.4,37.8,40.1,80,34.3,903,19.2
2017,228,41.52,45.13,32.21,59.94,41.3,29.6,1198.11,22.86
2018,228,38.8,39.1,32.2,58.6,,29.6,1106,11
2019,228,20.3,20.4,24.4,36.2,29.2,22.3,820,15.1
2020,228,45.1,39.2,28.7,53.3,53.2,38.7,1226,25
2021,228,16.4,11.8,9.9,11.7,18.1,14.1,644,9.6
2022,228,15,11.6,8,10.5,3.9,11.2,413.7,3.1
2023,228,20.4,16.8,13,16.2,3.8,19.6,1012.8,10
2024,228,35.3,35.1,19.1,40,33.4,30.8,1167,
2025,228,49.2,45.9,46.6,69.3,47.3,44.5,1955,36.9
1990,229,10,15.4,,33.3,23,,,16
1991,229,29.7,39.9,,62.2,79.3,,,20
1992,229,29.5,37.4,,77.7,66.9,,2400,15
1993,229,34.9,36.8,22,66.4,73.7,23.3,1102,26
1994,229,32,30.7,23.1,56.8,70,16.7,1128,25
1995,229,34.7,36,22.2,53.9,80,20,1300,25
1996,229,38.1,40.7,28,66,68.8,26.7,1170,28
1997,229,33.3,35.8,21.4,52.1,55.3,32.5,1140.4,18.8
1998,229,36.3,34.7,13.6,43.6,46.8,33.7,1050,17.3
1999,229,37.7,38.5,39.9,55.3,48.9,51.5,1809.6,
2000,229,31.8,39.1,39,54.4,95,44.3,1351.8,
2001,229,15.8,22.4,,36.8,41,10.7,305,
2002,229,21.3,15.4,,29,37.7,15.8,561,
2003,229,23.9,23.1,22.1,29.4,25.2,21.3,661,11.7
2004,229,33.5,37.9,33.5,52.1,44.5,37.1,1125,24
2005,229,39.3,41.7,34.9,59.3,71.5,38.4,1406,21.2
2006,229,29.1,30.4,28.6,44.8,,28.5,1006,18.5
2007,229,28.2,35.2,30.6,45.4,51.4,32.3,1133,
2008,229,32.4,34.4,37,57.1,,31,1332,
2009,229,34.4,35,37.9,53.9,,28.9,1476,
2010,229,40,35.8,37.2,50.6,67.1,32.6,1780,23.5
2011,229,40.7,36.1,38.4,61.3,,33,1486,20.5
2012,229,33.6,39.6,32,40.4,,32.4,1406,10
2013,229,37.1,43.7,42,56.5,92.6,43.7,1914,26.2
2014,229,41.25,42.57,41.33,50.95,84.43,39.1,1800.36,24.41
2015,229,18.66,34.91,30.21,47.6,,21.8,1037.68,16.02
2016,229,24.2,50.8,55.5,61.5,,39.1,1248,25
2017,229,50.76,40.25,28.52,50.92,,32.8,1383.82,30
2018,229,28.5,31,28.5,43.6,35,24.9,1230,14.5
2019,229,30.4,28.3,24.6,41.3,40,29.6,1210,17.3
2020,229,36.8,35.1,27.9,53.5,40,33,1474,10
2021,229,15.9,11.1,10.5,6.9,,11.3,615,8
2022,229,21.7,18.2,9,34.1,25,20.5,784.9,10
2023,229,17.2,13.3,7.6,20.5,14.3,17.1,839.2,5
2024,229,26.7,26.5,21.2,30.1,,24.7,966,16
2025,229,39.7,40.9,38.1,58.9,70,28,1716,10
1990,230,9.7,9.6,,10,18,,,4.5
1991,230,30.8,38,,51.3,72.5,,,
1992,230,30.3,36.8,,65,60,,1700,20
1993,230,33.6,32.1,,61.1,80,,1500,25
1994,230,32,33.8,20,50,57,45,950,18
1995,230,43,37.2,25,59.4,73,35,1600,25
1996,230,34.3,39.7,23,57.6,60.8,35.8,1400,24
1997,230,34.2,35.1,16.6,43.8,40,24.6,889.1,11
1998,230,29.7,36.1,20,50.9,57,34.7,1413,15
1999,230,39.1,37.9,33.2,58.7,73.1,39.4,1684.8,16
2000,230,31.4,39.4,23.5,55.9,47.7,31.1,1263.6,
2001,230,18,20.1,10,30,35,6.9,331,12
2002,230,10.2,13.3,,17.5,25.4,5.7,305,
2003,230,28.3,27.8,,47.5,,25.8,740,
2004,230,0,43.5,33.4,54.6,,28.3,1093,
2005,230,41.8,50.1,32.3,61.2,,37.9,1228,
2006,230,46,44.4,23.3,46.9,,19.2,,
2007,230,24.7,39.7,12.4,43,,26.9,,
2008,230,,38.5,,,,31.1,,
2009,230,,42.7,,,,17.2,753,
2010,230,44.2,34.9,40.1,52.9,41.4,30.7,1555,21.5
2011,230,32.6,42.3,37.2,59.3,,26.2,1373,21.8
2012,230,39,39.1,27.1,31,,29.8,1611,
2013,230,33.9,51.1,40.7,62.3,60,41.3,1798,23.2
2014,230,36.12,45.95,32.91,75.33,38.91,34.7,1978.53,25.75
2015,230,35.37,24.92,20.58,39.1,46.99,14,921.76,17.43
2016,230,32.6,45.1,50.8,72.4,33.6,36.6,1262,23.6
2017,230,41.57,41.34,23.29,57.78,,31.8,1295.68,19.46
2018,230,34,33.5,22.8,40,,26.4,1099,10
2019,230,26.6,27.5,19.4,41.8,,26,1023,12.4
2020,230,30.1,34.7,24.5,51.4,,34.6,1045,21.7
2021,230,29.4,13.8,12.8,11.3,16.6,12,796,8.3
2022,230,23.4,23.9,16.2,26.9,13,19.7,803,12.4
2023,230,10.9,16.2,11.6,15.8,17.9,17,887.6,9.3
2024,230,20.6,32.2,16.6,37,30,21.8,1002,
2025,230,16.4,36.2,38.6,45,,29.1,1429,
1990,231,8.1,7.7,,12.8,16,,,
1991,231,31.5,36.4,,50.5,40,,,
1992,231,36.2,34.3,,55.5,75,,,15
1993,231,32.1,34.3,35,67.5,100,,1000,34
1994,231,30.5,33.8,22,38.6,80,,,20
1995,231,37.8,40.3,30,60.2,80,,,24.8
1996,231,33.8,39.5,,45.9,50.8,,,
1997,231,33.3,36.3,24.8,48.5,,,,24.8
1998,231,30.4,35.2,,61.1,44.5,28.9,1496.4,
1999,231,36.2,39.9,31.6,45.9,55,32.3,1664.2,23.2
2000,231,34.5,33.7,27.3,39.7,24,24,626.9,
2001,231,20.3,21.1,,28.9,,5.2,528,
2002,231,14,13.7,,25.3,,8.9,460,
2003,231,27.2,31.8,,46.6,39.1,27.4,1097,
2004,231,37.8,42.6,31.2,47.1,56.3,30.1,932,
2005,231,41.4,44.5,40.2,63.1,,35.7,1670,24.3
2006,231,31.6,39.3,35.1,55.1,,38.5,,
2007,231,36.5,40,33.4,53.8,,26,1250,
2008,231,37.6,44.9,,,,32.1,1618,
2009,231,38.8,44,39,,,15.7,1360,
2010,231,30.8,34.9,35.5,72.9,65,31.2,1677,
2011,231,37.1,39.3,38.2,58.4,45.7,32.2,1745,31.8
2012,231,35.5,40.6,29.1,63.1,,36.9,1670,
2013,231,38.8,42.9,36.2,69.4,,40.2,1838,24.6
2014,231,40.71,41.52,36.96,61.99,80.01,31.5,1803.52,25.84
2015,231,36.28,29.8,27.82,34.99,50.21,24,1201.9,11.27
2016,231,38.7,47.4,50.5,63.3,46.4,37.3,1053,22
2017,231,40.71,44.87,32.71,54.09,,31.9,1371.1,22.55
2018,231,33.9,37.4,36,29,,27.5,1134,19
2019,231,29.5,23.8,21.9,40.8,,24.8,871,11.8
2020,231,32.2,32,20.5,32.9,31.4,29.3,1381,12.7
2021,231,16.5,15.3,20.7,28,,15.7,797,11.2
2022,231,18.5,17,22.2,31.6,25.5,20.9,833.1,10.6
2023,231,11.2,11.6,9.8,12.6,,11.7,594.2,14
2024,231,29.2,28.6,20.3,44.6,26.5,23,974,
2025,231,18.1,16.7,19.6,31.1,14.9,13.1,1270,
1990,232,6,8,,10,12,,,
1991,232,33.2,26.9,,50,38,,,
1992,232,35.1,28.7,,51,90,,,
1993,232,33.1,34.7,30,48.9,80,,,
1994,232,25.1,30.8,20,10.6,,,,22
1995,232,35.8,38.9,30,50.5,,,,25
1996,232,29.4,31.3,23,31.6,58.8,,,
1997,232,29.5,29.3,14.5,44.7,,30.3,,25
1998,232,30.2,33.6,6.5,,70.9,37.8,,
1999,232,35.3,35.5,,54.7,80,36.5,1624,
2000,232,25.9,28,,,32.9,12.6,,
2001,232,9.2,12.4,6,14.2,16.5,5.5,240,
2002,232,13.5,10.9,10,22.5,25.1,9.1,264,
2003,232,19.2,25.6,24,31.1,22.5,23.6,1000,
2004,232,29.3,32.1,33.8,48.7,60,31.8,1271,
2005,232,36.2,40.6,40.7,49,47.5,39.6,1480,23
2006,232,28.8,33.2,32.2,56.7,60,31.1,,26
2007,232,28,34.3,20,54.4,54.5,34.7,1210,
2008,232,36.1,36.6,37.5,55.6,65,33,,
2009,232,31,30.6,23.7,,,19.4,,
2010,232,33.6,29.1,38.8,49.4,65,38.2,1673,
2011,232,35.7,31.3,31.7,59.7,36.6,39.3,1848,
2012,232,35.3,40.5,32.2,54.8,,43.6,1816,
2013,232,36.6,37.9,37.9,61.5,52.7,39.9,2019,
2014,232,35.18,31.13,37.16,54.19,,31.9,1821.47,
2015,232,29.74,27.61,32.34,59.41,84.16,20.7,1376.82,
2016,232,45.9,43.2,43.9,54.8,62.4,42.3,1145,
2017,232,33.97,37.33,30,41.53,,29.7,1001.28,
2018,232,32,29,38,47,,29,1015,
2019,232,28,24.5,21.2,35.8,,18.4,463,
2020,232,32.4,27.9,18.5,36.2,,27.6,750,
2021,232,12.8,10,14.3,13.1,,11,514,
2022,232,19.6,18.7,18.4,23.7,,14.9,703.3,
2023,232,11.6,6.4,14.3,10.3,,11.3,487.2,
2024,232,29.2,31.2,20.6,40.3,41.9,22.5,1000,
2025,232,21.5,18.2,39.7,36.9,,15.6,1034,
1990,241,39.6,35,26.6,61.1,71.3,,,23.3
1991,241,29.9,30,18.6,35.6,55,,,21.1
1992,241,22.3,20,13.8,34.7,41.3,16.7,900,16.7
1993,241,27.7,25,23.3,63.6,60.4,27.1,1100,20
1994,241,27.5,25,16.9,49.3,65.9,30.4,1200,20
1995,241,26.4,25,13.9,57.6,70,21.6,1200,21.3
1996,241,30.1,22.5,25.2,68.1,79.1,22.5,1200,24.1
1997,241,25.3,20,21.2,53.1,47.7,17.7,600,15.2
1998,241,28.2,25,23.8,65,77.5,18.5,800,19.6
1999,241,34.1,30,29.2,65.5,64.3,29.1,1300,15.6
2000,241,34.2,30,27.7,60.5,65.7,37.1,1200,18.5
2001,241,25.9,20,24.6,51.8,53.5,18.9,750,15
2002,241,30.4,20,20.9,45.7,47.1,21.8,700,12.8
2003,241,23.6,15,19.6,43.8,55.6,19.7,600,12.5
2004,241,28.9,,18.2,53.2,75.1,25,800,15
2005,241,32.8,30,23.1,50,50.6,18.5,900,20.1
2006,241,28.6,30,23.3,50.5,50.7,35,700,17.5
2007,241,33.7,30,27.6,45.8,74.3,37.5,900,25
2008,241,44.4,45,33.5,63.8,82.7,35,900,22.4
2009,241,34.8,39.2,28.4,56.9,68,30,800,18.3
2010,241,27.3,30,21,32.5,59.2,17.2,900,20.9
2011,241,33.8,35,27.5,49.4,59.3,23.9,900,17.5
2012,241,28.4,30,16,24.7,59.5,24,1000,13.5
2013,241,51.2,45,37.6,71.9,91.9,29.7,1250,27.9
2014,241,39.61,40,27.02,35.57,84.2,19.1,1300,22.32
2015,241,37.48,35,36.05,58.87,72.04,32.8,1100,21.01
2016,241,38.4,35,39.1,59.5,80.1,39.4,702,24.9
2017,241,49.13,40,39.16,63.63,83.37,47.8,1200,25.26
2018,241,48.3,35,39.2,61,90.2,41.5,900,20
2019,241,53.3,45,40,68,92.3,42.6,900,25
2020,241,50,40,39.5,66.2,74.8,38.5,800,29
2021,241,34.3,25,25.8,41.8,48.6,24.9,650,19.3
2022,241,53.8,35,42.9,60.9,93.3,44.3,1300,30.2
2023,241,47.4,30,38.8,62.1,64.1,43.1,1200,21.4
2024,241,58.9,35,36,75.4,96.6,45.1,800,30
2025,241,62.2,57.7,50.4,89.4,111.6,47.7,1789,30
1990,243,41.7,37,26.4,57,61.9,,,22
1991,243,35.2,30,26.9,47.8,60,,,25.8
1992,243,23.6,27,19.7,53.9,50.1,35,,8.3
1993,243,28.9,26,22.7,63.1,74.1,23.8,,20.3
1994,243,30.3,25,20.3,59.5,73.6,31,,20.9
1995,243,34.5,32,13.4,60.9,76.1,26.6,,20.6
1996,243,34.6,31.5,24.5,62.5,76.6,31.7,,20.2
1997,243,30.4,30,22.4,51.3,57.8,21.7,500,19.4
